allDay,dayOfWeek,startHour,endHour
false,7,1100,200
false,6,1100,200
false,5,1100,200
false,4,1100,200
false,3,1100,200
false,2,1100,200
false,1,1100,200
false,7,930,1200
false,6,1830,2130
false,6,30,1430
false,5,1830,2200
false,5,630,900
false,5,30,230
false,4,1730,2200
false,4,1230,1430
false,3,1830,2200
false,3,1230,1430
false,3,630,900
false,2,1800,2200
false,2,30,1430
false,7,1030,2300
false,6,1030,2300
false,5,1030,2300
false,4,1030,2200
false,3,1030,2200
false,2,1030,2200
false,1,1100,2200
false,7,1130,0
false,6,1130,0
false,5,1130,2300
false,4,1130,2300
false,3,1130,2300
false,2,1130,2300
false,1,1130,0
false,7,1100,500
false,6,1200,400
false,5,1200,400
false,4,1200,400
false,3,1200,400
false,2,1200,400
false,1,1100,400
false,7,700,2000
false,6,630,2000
false,5,630,2000
false,4,630,2000
false,3,630,2000
false,2,630,2000
false,1,700,2000
false,7,1100,1900
false,6,1100,1900
false,5,1100,1900
false,4,1100,1900
false,3,1100,1900
false,1,1200,1800
false,7,1200,1700
false,6,1200,1800
false,5,1200,1800
false,4,1200,1800
false,3,1200,1800
false,7,1000,1900
false,6,1000,1900
false,5,1000,1900
false,4,1000,1900
false,3,1000,1900
false,2,1000,1900
false,1,1000,1700
false,7,1630,2100
false,7,800,1430
false,6,1630,2100
false,6,800,1430
false,5,1630,2100
false,5,800,1430
false,4,1630,2100
false,4,800,1430
false,3,1630,2100
false,3,800,1430
false,2,800,1430
false,1,800,1430
false,7,1000,0
false,6,1500,0
false,5,1500,0
false,4,1500,0
false,3,1500,0
false,1,1000,0
false,7,1000,1700
false,6,1000,1800
false,5,1200,1800
false,4,1200,1800
false,3,1200,1900
false,2,1200,1700
false,1,1200,1600
false,7,1600,1730
false,7,800,1100
false,6,1630,1900
false,6,830,1300
false,5,1600,2030
false,5,830,1300
false,4,1600,2030
false,4,830,1300
false,3,1600,2030
false,3,830,1300
false,2,1630,2030
false,2,830,1300
false,1,1530,2000
false,1,930,1100
false,7,1000,200
false,6,1500,200
false,5,1500,100
false,4,1500,100
false,3,1500,100
false,2,1500,100
false,1,1000,200
false,7,800,2100
false,6,700,2100
false,5,700,2100
false,4,700,2100
false,3,700,2100
false,2,700,2100
false,1,800,2100
false,7,800,2100
false,6,800,2100
false,5,800,2100
false,4,800,2100
false,3,800,2100
false,2,800,2100
false,1,1000,2000
false,7,600,2200
false,6,600,2200
false,5,600,2200
false,4,600,2200
false,3,600,2200
false,2,600,2200
false,1,600,2200
false,6,1100,1800
false,5,1100,1800
false,4,1100,1800
false,3,1100,1800
false,2,1100,1800
false,7,800,2000
false,6,800,2000
false,5,800,2000
false,4,800,2000
false,3,800,2000
false,2,800,1700
false,1,800,2000
false,6,1000,1830
false,5,1000,1830
false,4,1000,1830
false,3,1000,1830
false,2,1000,1830
false,7,900,1300
false,7,800,2200
false,6,800,2200
false,5,800,2200
false,4,800,2200
false,3,800,2200
false,2,800,2200
false,1,800,2200
false,7,900,1700
false,6,900,1900
false,5,900,2000
false,4,900,2000
false,3,900,2000
false,2,900,1900
false,7,800,1900
false,6,700,1900
false,5,700,1900
false,4,700,1900
false,3,700,1900
false,2,700,1900
false,1,800,1900
false,7,1600,0
false,6,1600,0
false,5,1600,0
false,4,1600,0
false,3,1600,0
false,2,1600,0
false,1,1600,0
false,7,1200,2300
false,6,1200,2300
false,5,1500,2300
false,4,1500,2300
false,3,1500,2300
false,2,1500,2300
false,1,1200,2000
false,7,1000,100
false,6,1100,100
false,5,1100,0
false,4,1100,0
false,3,1100,0
false,2,1100,0
false,1,1000,0
false,7,1000,0
false,6,1500,0
false,5,1500,2300
false,4,1500,2300
false,3,1500,2300
false,1,1000,2300
false,7,1100,200
false,6,1100,200
false,5,1100,200
false,4,1100,200
false,3,1100,200
false,2,1100,0
false,1,1100,0
false,7,1200,0
false,6,1600,0
false,5,1600,2300
false,4,1600,2300
false,1,1400,2100
false,7,1100,2200
false,6,1100,2200
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,1,1100,2000
false,7,1000,200
false,6,1000,300
false,5,1000,300
false,4,1000,200
false,3,1000,200
false,2,1000,200
false,1,1000,200
false,7,900,0
false,6,900,200
false,5,900,200
false,4,900,0
false,3,900,0
false,2,900,0
false,1,900,0
false,6,700,1600
false,5,700,2200
false,4,700,2200
false,3,700,2200
false,2,700,2200
false,1,700,2200
false,7,1200,400
false,6,1200,400
false,5,1200,400
false,4,1200,200
false,3,1200,200
false,2,1200,200
false,1,1200,200
false,7,1600,230
false,6,1600,230
false,5,1600,230
false,4,1600,130
false,3,1600,130
false,2,1600,130
false,1,1600,130
false,7,2100,2300
false,6,900,1600
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1000,2200
false,7,800,0
false,6,800,0
false,5,800,0
false,4,800,0
false,3,800,0
false,2,800,0
false,1,800,0
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1900,600
false,6,2100,600
false,5,1900,600
false,4,1900,600
false,3,1900,600
false,2,1900,600
false,1,1900,600
false,7,1100,2200
false,6,1100,2200
false,5,1100,2100
false,4,1100,2100
false,3,1100,2100
false,2,1100,2100
false,1,1100,2100
false,7,1730,0
false,7,1000,1430
false,6,1730,0
false,5,1730,0
false,4,1730,0
false,3,1730,0
false,2,1730,0
false,1,1730,0
false,1,1000,1430
false,7,1730,2300
false,6,1730,2300
false,6,1130,1430
false,5,1730,2200
false,5,1130,1430
false,4,1730,2200
false,4,1130,1430
false,3,1730,2200
false,3,1130,1430
false,2,1730,2200
false,2,1130,1430
false,1,1730,2200
